"price","volume","type"
"3.5575","93.7","ask"
"3.5581","1.7","ask"
"3.56","134.4","ask"
"3.5643","62.1","ask"
"3.5648","5.4","ask"
"3.5672","132.6","ask"
"3.5676","2.9","ask"
"3.572","29.5","ask"
"3.5742","5.1","ask"
"3.5758","1.7","ask"
"3.5761","12.1","ask"
"3.5764","7","ask"
"3.5866","2.9","ask"
"3.5874","77.6","ask"
"3.5876","5","ask"
"3.5882","15","ask"
"3.59","95.8","ask"
"3.5921","7","ask"
"3.5922","9.5","ask"
"3.5937","1.7","ask"
"3.5951","5.4","ask"
"3.597","76.4","ask"
"3.5976","15","ask"
"3.5995","75.4","ask"
"3.6","1","ask"
"3.6009","123","ask"
"3.6013","138.8","ask"
"3.6023","70.4","ask"
"3.6058","2.9","ask"
"3.6067","7.1","ask"
"3.6068","0.6","ask"
"3.6115","1.7","ask"
"3.6143","8.5","ask"
"3.6154","81.3","ask"
"3.62","1207.6","ask"
"3.625","2.9","ask"
"3.6256","5.4","ask"
"3.6288","91.9","ask"
"3.6295","1.7","ask"
"3.63","4676.7","ask"
"3.6316","12.1","ask"
"3.6351","5","ask"
"3.64","6.9","ask"
"3.642","4492.5","ask"
"3.6444","2.9","ask"
"3.6463","2","ask"
"3.6466","9.4","ask"
"3.6477","1.7","ask"
"3.6495","76.3","ask"
"3.651","81.4","ask"
"3.6531","0.6","ask"
"3.6536","66.2","ask"
"3.6564","5.4","ask"
"3.6569","129.8","ask"
"3.6599","28.8","ask"
"3.66","119","ask"
"3.6606","7","ask"
"3.6638","2.9","ask"
"3.6643","5","ask"
"3.6658","1.7","ask"
"3.6693","14","ask"
"3.67","413.5","ask"
"3.6729","14.6","ask"
"3.6767","19","ask"
"3.68","20","ask"
"3.6811","39.6","ask"
"3.6833","5","ask"
"3.6834","2.8","ask"
"3.684","1.7","ask"
"3.6868","318","ask"
"3.6875","5.4","ask"
"3.6881","12.1","ask"
"3.6886","6.8","ask"
"3.6918","80.5","ask"
"3.6992","18","ask"
"3.7","155","ask"
"3.7017","90.1","ask"
"3.7019","9.2","ask"
"3.7025","1.7","ask"
"3.7031","2.8","ask"
"3.7047","8.3","ask"
"3.7085","66.2","ask"
"3.7128","75","ask"
"3.7152","6.9","ask"
"3.7157","14.3","ask"
"3.7188","5.4","ask"
"3.7209","1.7","ask"
"3.7228","2.8","ask"
"3.7298","1.3","ask"
"3.7314","5","ask"
"3.7377","6.7","ask"
"3.7394","1.7","ask"
"3.7427","2.8","ask"
"3.7454","12.1","ask"
"3.75","79.6","ask"
"3.7503","5.4","ask"
"3.7514","13.7","ask"
"3.7566","4.9","ask"
"3.7575","14.4","ask"
"3.7579","9.1","ask"
"3.7581","1.7","ask"
"3.7595","14.3","ask"
"3.76","134.4","ask"
"3.7626","2.8","ask"
"3.7631","38.8","ask"
"3.7637","1.7","ask"
"3.7643","66.2","ask"
"3.77","43.7","ask"
"3.7706","6.8","ask"
"3.7761","88.3","ask"
"3.7768","1.7","ask"
"3.7771","73.7","ask"
"3.7801","5","ask"
"3.7821","5.4","ask"
"3.7827","2.8","ask"
"3.7877","6.6","ask"
"3.7882","1.7","ask"
"3.7949","5","ask"
"3.7957","1.7","ask"
"3.7974","8.1","ask"
"3.8","528.8","ask"
"3.8028","225","ask"
"3.8029","2.8","ask"
"3.8036","12.1","ask"
"3.8082","2","ask"
"3.8099","215.5","ask"
"3.8101","12859.5","ask"
"3.8142","5.4","ask"
"3.8145","1.7","ask"
"3.8146","84.7","ask"
"3.8148","9","ask"
"3.821","66.2","ask"
"3.8231","2.7","ask"
"3.8259","3.4","ask"
"3.8269","6.7","ask"
"3.8295","5","ask"
"3.8335","1.7","ask"
"3.8354","13.4","ask"
"3.8381","6.5","ask"
"3.8401","14.1","ask"
"3.8425","27.4","ask"
"3.8426","72.4","ask"
"3.8435","2.7","ask"
"3.8466","5.4","ask"
"3.847","37.9","ask"
"3.8471","45.9","ask"
"3.8481","14","ask"
"3.85","97.3","ask"
"3.8504","15","ask"
"3.8512","4.7","ask"
"3.8518","86.6","ask"
"3.8527","1.7","ask"
"3.86","151.4","ask"
"3.8627","12.1","ask"
"3.864","2.7","ask"
"3.8718","1.7","ask"
"3.8725","83.4","ask"
"3.8726","8.8","ask"
"3.8784","66.2","ask"
"3.8793","5.4","ask"
"3.8794","5","ask"
"3.88","3.8","ask"
"3.8804","6.4","ask"
"3.884","6.6","ask"
"3.8845","2.7","ask"
"3.8894","6.4","ask"
"3.89","54","ask"
"3.8912","1.7","ask"
"3.8923","7.9","ask"
"3.8981","29.7","ask"
"3.9","17","ask"
"3.9052","2.7","ask"
"3.9066","1.3","ask"
"3.9092","71.2","ask"
"3.9105","1.7","ask"
"3.9122","5.4","ask"
"3.9182","200","ask"
"3.9212","13.1","ask"
"3.9227","12.1","ask"
"3.9245","13.8","ask"
"3.9257","0.1","ask"
"3.926","2.7","ask"
"3.9292","84.9","ask"
"3.9301","1.7","ask"
"3.9302","5","ask"
"3.9312","90.8","ask"
"3.932","4.1","ask"
"3.9328","37.1","ask"
"3.9368","66.2","ask"
"3.9371","26.7","ask"
"3.9389","13.6","ask"
"3.9413","6.3","ask"
"3.9419","6.5","ask"
"3.9455","5.4","ask"
"3.9469","2.7","ask"
"3.9482","4.6","ask"
"3.9496","1.7","ask"
"3.95","9381.3","ask"
"3.96","120","ask"
"3.9613","0.8","ask"
"3.9678","2.6","ask"
"3.9693","1.7","ask"
"3.9769","70","ask"
"3.979","5.4","ask"
"3.98","1.4","ask"
"3.9814","5","ask"
"3.989","2.6","ask"
"3.9891","1.7","ask"
"3.9896","7.7","ask"
"3.9908","89.5","ask"
"3.9922","146.2","ask"
"3.9939","6.3","ask"
"3.996","66.2","ask"
"4","10865.6","ask"
"4.0007","6.4","ask"
"4.0068","0.9","ask"
"4.0069","0.6","ask"
"4.008","36","ask"
"4.0081","83.2","ask"
"4.009","14.5","ask"
"4.0103","2.6","ask"
"4.0108","13.5","ask"
"4.0127","5.4","ask"
"4.0205","36.3","ask"
"4.029","1.7","ask"
"4.0317","15.9","ask"
"4.0321","44","ask"
"4.0335","5","ask"
"4.0341","26.1","ask"
"4.0417","0.3","ask"
"4.046","68.8","ask"
"4.0468","5.4","ask"
"4.0471","6.2","ask"
"4.0477","4.5","ask"
"4.049","1.7","ask"
"4.05","20","ask"
"4.0511","8.4","ask"
"4.0513","79.7","ask"
"4.0532","2.6","ask"
"4.056","66.2","ask"
"4.06","110","ask"
"4.0603","6.3","ask"
"4.0692","1.7","ask"
"4.0747","2.6","ask"
"4.08","250","ask"
"4.0812","5.4","ask"
"4.0831","0.3","ask"
"4.0854","0.9","ask"
"4.0855","0.3","ask"
"4.0856","0.3","ask"
"4.0857","0.3","ask"
"4.0862","5","ask"
"4.0886","81.6","ask"
"4.089","1000","ask"
"4.0894","7.5","ask"
"4.0895","1.7","ask"
"4.0964","2.6","ask"
"4.0987","12.5","ask"
"4.099","13.2","ask"
"4.1011","6.1","ask"
"4.108","15.6","ask"
"4.1099","1.7","ask"
"4.11","35.5","ask"
"4.1125","8.3","ask"
"4.1127","78.5","ask"
"4.1158","5.4","ask"
"4.1161","67.6","ask"
"4.1171","66.2","ask"
"4.1182","2.5","ask"
"4.12","2454.9","ask"
"4.1209","6.2","ask"
"4.1268","13","ask"
"4.1304","1.7","ask"
"4.1336","25.5","ask"
"4.1395","5","ask"
"4.14","173.8","ask"
"4.1401","2.5","ask"
"4.1496","4.4","ask"
"4.15","506.3","ask"
"4.1508","5.4","ask"
"4.1509","1.7","ask"
"4.1559","6","ask"
"4.1622","2.5","ask"
"4.1706","79.9","ask"
"4.171","8.8","ask"
"4.1717","1.7","ask"
"4.1748","8.2","ask"
"4.1751","77.3","ask"
"4.179","66.2","ask"
"4.1824","6.1","ask"
"4.1828","122.7","ask"
"4.1844","2.5","ask"
"4.186","5.4","ask"
"4.1875","66.5","ask"
"4.1891","12.9","ask"
"4.1904","12.2","ask"
"4.1917","7.3","ask"
"4.1925","1.7","ask"
"4.1936","5","ask"
"4.2","954.9","ask"
"4.205","3.8","ask"
"4.2067","2.5","ask"
"4.2087","0.1","ask"
"4.21","5.9","ask"
"4.2113","5.9","ask"
"4.2133","1.7","ask"
"4.2241","12.7","ask"
"4.2291","2.5","ask"
"4.23","9.4","ask"
"4.2343","1.7","ask"
"4.2354","24.9","ask"
"4.236","39.6","ask"
"4.238","8.1","ask"
"4.2384","76.2","ask"
"4.2418","66.2","ask"
"4.2448","6","ask"
"4.2483","5","ask"
"4.25","117.6","ask"
"4.2516","2.5","ask"
"4.2541","4.3","ask"
"4.2544","78.4","ask"
"4.2555","1.7","ask"
"4.26","157.2","ask"
"4.2601","65.3","ask"
"4.2675","5.9","ask"
"4.2742","2.4","ask"
"4.2766","1.7","ask"
"4.28","1999.4","ask"
"4.2812","12.6","ask"
"4.2843","412","ask"
"4.29","510.7","ask"
"4.2922","99.9","ask"
"4.2965","7.1","ask"
"4.2969","2.4","ask"
"4.2979","1.7","ask"
"4.3","2930.9","ask"
"4.3022","7.9","ask"
"4.3028","75","ask"
"4.3039","5","ask"
"4.3057","66.2","ask"
"4.3081","5.9","ask"
"4.3158","23.1","ask"
"4.3194","1.7","ask"
"4.3199","2.4","ask"
"4.3236","12.4","ask"
"4.3244","5.8","ask"
"4.3277","1.9","ask"
"4.3281","5.2","ask"
"4.334","64.2","ask"
"4.3398","101.1","ask"
"4.3409","1.7","ask"
"4.3429","2.4","ask"
"4.3458","31.7","ask"
"4.35","6","ask"
"4.358","2999.8","ask"
"4.3596","0.2","ask"
"4.36","7.8","ask"
"4.3613","4.2","ask"
"4.3625","1.7","ask"
"4.366","2.4","ask"
"4.3673","7.8","ask"
"4.3681","73.8","ask"
"4.3704","66.2","ask"
"4.3724","5.8","ask"
"4.3753","12.3","ask"
"4.3764","11","ask"
"4.3802","11.7","ask"
"4.3821","5.7","ask"
"4.3843","1.7","ask"
"4.3892","2.4","ask"
"4.4","0.2","ask"
"4.4039","6.9","ask"
"4.4061","1.7","ask"
"4.4092","63.1","ask"
"4.411","3.6","ask"
"4.4126","2.4","ask"
"4.417","5","ask"
"4.42","66.3","ask"
"4.4254","11","ask"
"4.4257","12.1","ask"
"4.4281","1.7","ask"
"4.4334","7.7","ask"
"4.4361","2.4","ask"
"4.4362","66.2","ask"
"4.4376","5.8","ask"
"4.44","55","ask"
"4.4405","5.6","ask"
"4.444","10.5","ask"
"4.4458","3269.1","ask"
"4.4467","23.7","ask"
"4.4502","1.7","ask"
"4.4597","2.3","ask"
"4.46","20","ask"
"4.47","34","ask"
"4.4711","4.1","ask"
"4.4715","12.1","ask"
"4.4723","1.7","ask"
"4.4747","5","ask"
"4.4783","11.4","ask"
"4.48","100","ask"
"4.4834","2.3","ask"
"4.4841","400","ask"
"4.4857","62","ask"
"4.4946","1.7","ask"
"4.4964","44","ask"
"4.497","3.5","ask"
"4.4999","5.5","ask"
"4.5","409.4","ask"
"4.5005","7.6","ask"
"4.5012","681","ask"
"4.5029","66.2","ask"
"4.5038","5.7","ask"
"4.5073","2.3","ask"
"4.5141","6.8","ask"
"4.517","1.7","ask"
"4.5182","33","ask"
"4.5208","1.1","ask"
"4.53","11.9","ask"
"4.5313","2.3","ask"
"4.5331","5","ask"
"4.5395","1.7","ask"
"4.5554","2.3","ask"
"4.5562","23.1","ask"
"4.56","330.2","ask"
"4.5622","1.7","ask"
"4.5635","61","ask"
"4.5678","5.5","ask"
"4.5687","7.5","ask"
"4.5698","11.8","ask"
"4.5706","66.2","ask"
"4.571","5.6","ask"
"4.5779","0.1","ask"
"4.5797","2.3","ask"
"4.58","27.5","ask"
"4.5801","0.7","ask"
"4.5836","4","ask"
"4.5839","0.1","ask"
"4.5849","1.7","ask"
"4.5869","0.1","ask"
"4.5898","0.1","ask"
"4.5923","5","ask"
"4.6","6221.9","ask"
"4.6017","1","ask"
"4.6041","2.3","ask"
"4.6078","1.7","ask"
"4.61","101.2","ask"
"4.6215","53","ask"
"4.627","6.6","ask"
"4.6286","2.3","ask"
"4.6304","0.5","ask"
"4.6307","1.7","ask"
"4.6312","40","ask"
"4.6368","11.6","ask"
"4.6379","7.4","ask"
"4.6393","5.5","ask"
"4.6394","66.2","ask"
"4.6402","0.1","ask"
"4.6427","59.9","ask"
"4.65","3421.2","ask"
"4.6511","100.2","ask"
"4.6532","2.2","ask"
"4.6538","1.7","ask"
"4.66","119.8","ask"
"4.6625","2.3","ask"
"4.6685","22.5","ask"
"4.67","10.8","ask"
"4.6703","11.6","ask"
"4.6724","99.9","ask"
"4.677","1.7","ask"
"4.678","2.2","ask"
"4.69","85.4","ask"
"4.6991","3.9","ask"
"4.7","32048.5","ask"
"4.7003","1.7","ask"
"4.7029","2.2","ask"
"4.705","22.6","ask"
"4.7081","7.3","ask"
"4.7084","5.4","ask"
"4.7091","66.2","ask"
"4.7232","58.9","ask"
