"time","open","high","low","close","volume"
"2022-12-03T00:00:00.000Z","0.502","0.502","0.483","0.488","77881.24774462"
"2022-12-04T00:00:00.000Z","0.489","0.499","0.489","0.497","5322.14477707"
"2022-12-05T00:00:00.000Z","0.500","0.502","0.481","0.483","51193.69879374"
"2022-12-06T00:00:00.000Z","0.484","0.489","0.468","0.473","21417.32612548"
"2022-12-07T00:00:00.000Z","0.475","0.475","0.428","0.443","79058.23380392"
"2022-12-08T00:00:00.000Z","0.439","0.449","0.431","0.448","96004.46949475"
"2022-12-09T00:00:00.000Z","0.447","0.451","0.437","0.439","12263.39005794"
"2022-12-10T00:00:00.000Z","0.441","0.447","0.441","0.443","87263.74616367"
"2022-12-11T00:00:00.000Z","0.446","0.449","0.435","0.435","3773.82557746"
"2022-12-12T00:00:00.000Z","0.432","0.432","0.414","0.432","353544.73278996"
"2022-12-13T00:00:00.000Z","0.429","0.443","0.418","0.443","16884.44766942"
"2022-12-14T00:00:00.000Z","0.442","0.591","0.426","0.431","269054.37217668"
"2022-12-15T00:00:00.000Z","0.431","0.435","0.423","0.423","4632.59414273"
"2022-12-16T00:00:00.000Z","0.425","0.429","0.365","0.384","173162.48992321"
"2022-12-17T00:00:00.000Z","0.383","0.390","0.376","0.390","147848.46712503"
"2022-12-18T00:00:00.000Z","0.387","0.394","0.384","0.394","14159.91471871"
"2022-12-19T00:00:00.000Z","0.393","0.400","0.383","0.383","30059.74458260"
"2022-12-20T00:00:00.000Z","0.381","0.405","0.380","0.405","18489.07966199"
"2022-12-21T00:00:00.000Z","0.406","0.407","0.395","0.399","8115.47900346"
"2022-12-22T00:00:00.000Z","0.398","0.401","0.390","0.397","34847.11250829"
"2022-12-23T00:00:00.000Z","0.396","0.398","0.391","0.397","14615.44000485"
"2022-12-24T00:00:00.000Z","0.398","0.402","0.398","0.399","1144.69921500"
"2022-12-25T00:00:00.000Z","0.401","0.401","0.390","0.397","1936.21520504"
"2022-12-26T00:00:00.000Z","0.398","0.407","0.398","0.406","3357.15263974"
"2022-12-27T00:00:00.000Z","0.406","0.411","0.396","0.397","34147.84160663"
"2022-12-28T00:00:00.000Z","0.400","0.401","0.381","0.384","37409.41524864"
"2022-12-29T00:00:00.000Z","0.383","0.386","0.375","0.381","78812.55671439"
"2022-12-30T00:00:00.000Z","0.384","0.385","0.372","0.374","190908.21885240"
"2022-12-31T00:00:00.000Z","0.376","0.388","0.375","0.384","31129.79270292"
"2023-01-01T00:00:00.000Z","0.384","0.387","0.380","0.386","28358.63410213"
"2023-01-02T00:00:00.000Z","0.384","0.399","0.381","0.397","24687.31584099"
"2023-01-03T00:00:00.000Z","0.395","0.399","0.384","0.386","10009.00758196"
"2023-01-04T00:00:00.000Z","0.385","0.404","0.385","0.397","65278.19320473"
"2023-01-05T00:00:00.000Z","0.399","0.399","0.388","0.388","60239.44077837"
"2023-01-06T00:00:00.000Z","0.389","0.396","0.381","0.396","262026.93959049"
"2023-01-07T00:00:00.000Z","0.396","0.400","0.396","0.396","6900.56661171"
"2023-01-08T00:00:00.000Z","0.393","0.411","0.393","0.408","75668.98192929"
"2023-01-09T00:00:00.000Z","0.409","0.434","0.409","0.422","99992.27753941"
"2023-01-10T00:00:00.000Z","0.423","0.436","0.417","0.432","21889.57968588"
"2023-01-11T00:00:00.000Z","0.430","0.435","0.414","0.435","42299.57636400"
"2023-01-12T00:00:00.000Z","0.436","0.455","0.430","0.449","63648.52831147"
"2023-01-13T00:00:00.000Z","0.449","0.467","0.444","0.465","48601.18612472"
"2023-01-14T00:00:00.000Z","0.467","0.500","0.449","0.480","512888.88218820"
"2023-01-15T00:00:00.000Z","0.483","0.502","0.471","0.500","149503.14711702"
"2023-01-16T00:00:00.000Z","0.500","0.510","0.471","0.488","109602.46660151"
"2023-01-17T00:00:00.000Z","0.488","0.496","0.478","0.480","75198.60546536"
"2023-01-18T00:00:00.000Z","0.481","0.486","0.440","0.447","142916.39904552"
"2023-01-19T00:00:00.000Z","0.449","0.473","0.448","0.461","175170.96294064"
"2023-01-20T00:00:00.000Z","0.461","0.492","0.456","0.492","57419.78237732"
"2023-01-21T00:00:00.000Z","0.493","0.517","0.483","0.502","196277.63821830"
"2023-01-22T00:00:00.000Z","0.504","0.540","0.496","0.515","425569.49682228"
"2023-01-23T00:00:00.000Z","0.516","0.551","0.516","0.533","159121.84626290"
"2023-01-24T00:00:00.000Z","0.531","0.546","0.503","0.514","126615.56798444"
"2023-01-25T00:00:00.000Z","0.514","0.570","0.498","0.535","352661.61146555"
"2023-01-26T00:00:00.000Z","0.537","0.548","0.514","0.523","22895.68500118"
